"","class","levels","mode"
"M_AcadRS","Factors",2,"0"
"M_RankPercent","Factors",2,"1"
"M_ClassSize","Factors",2,"0"
"M_GPA","Factors",2,"0"
"M_ACTEng","Factors",2,"0"
"M_ACTWRSC","Factors",2,"0"
"M_SATVerbal","Factors",2,"1"
"M_SATMath","Factors",2,"1"
"M_SATWRSC","Factors",2,"1"
"M_ON","Factors",2,"0"
"M_Month","Factors",2,"0"
"USStateRegionInternational","Factors",2,"0"
"USStateRegionMiddle.Atlantic","Factors",2,"0"
"USStateRegionNew.England","Factors",2,"0"
"USStateRegionOhio","Factors",2,"1"
"USStateRegionOther","Factors",2,"0"
"USStateRegionSouth","Factors",2,"0"
"USStateRegionWest","Factors",2,"0"
"USStateRegionWestern.Midwest","Factors",2,"0"
"RaceAsian","Factors",2,"0"
"RaceBlack.or.African.American","Factors",2,"0"
"RaceWhite","Factors",2,"1"
"RaceHispanic.Latino","Factors",2,"0"
"RaceMulti.Racial","Factors",2,"0"
"RaceUnknown","Factors",2,"0"
"RaceNon.Resident.Alien","Factors",2,"0"
"RaceNative.Hawaiian.or.Other.Pacific.Islander","Factors",2,"0"
"GenderM","Factors",2,"0"
"FirstGenY","Factors",2,"0"
"AlumniConnectionA...Mother..Father..Sibling","Factors",2,"0"
"AlumniConnectionB","Factors",2,"0"
"AlumniConnectionB...Mother..Father","Factors",2,"0"
"AlumniConnectionC","Factors",2,"0"
"AlumniConnectionC...Mother..Sibling","Factors",2,"0"
"AlumniConnectionD","Factors",2,"0"
"AlumniConnectionD...Father..Sibling","Factors",2,"0"
"AlumniConnectionF","Factors",2,"0"
"AlumniConnectionF...Father","Factors",2,"0"
"AlumniConnectionM","Factors",2,"0"
"AlumniConnectionM...Mother","Factors",2,"0"
"AlumniConnectionNP","Factors",2,"1"
"AlumniConnectionO","Factors",2,"0"
"AlumniConnectionO...Other","Factors",2,"0"
"AlumniConnectionS","Factors",2,"0"
"AlumniConnectionS...Sibling","Factors",2,"0"
"QuestionCR","Factors",2,"0"
"QuestionNP","Factors",2,"1"
"QuestionSR","Factors",2,"0"
"QuestionSR.CR","Factors",2,"0"
"DivisionAP","Factors",2,"0"
"DivisionAS","Factors",2,"0"
"DivisionBU","Factors",2,"0"
"DivisionCAS","Factors",2,"0"
"DivisionCCA","Factors",2,"0"
"DivisionCEC","Factors",2,"0"
"DivisionCEHS","Factors",2,"0"
"DivisionEA","Factors",2,"0"
"DivisionFA","Factors",2,"0"
"DivisionFSB","Factors",2,"0"
"DivisionIS","Factors",1,"0"
"ApplicationTypeOF","Factors",2,"1"
"ApplicationTypeOI","Factors",2,"0"
"ApplicationTypeOM","Factors",2,"0"
"HousingNO","Factors",2,"1"
"HousingOff.Campus","Factors",2,"0"
"HousingOn.Campus","Factors",2,"0"
"SpecialConsiderationCA","Factors",2,"0"
"SpecialConsiderationDI","Factors",2,"0"
"SpecialConsiderationFC","Factors",2,"0"
"SpecialConsiderationFI","Factors",2,"0"
"SpecialConsiderationFM","Factors",2,"0"
"SpecialConsiderationFR","Factors",2,"0"
"SpecialConsiderationFT","Factors",2,"0"
"SpecialConsiderationNP","Factors",2,"1"
"SpecialConsiderationPR","Factors",2,"0"
"SpecialConsiderationSR","Factors",2,"0"
"DecisionTypeDQ","Factors",2,"0"
"DecisionTypeDY","Factors",2,"0"
"DecisionTypeE","Factors",2,"0"
"DecisionTypeH","Factors",2,"0"
"DecisionTypeHN","Factors",2,"0"
"DecisionTypeHQ","Factors",2,"0"
"DecisionTypeHY","Factors",2,"0"
"DecisionTypeN","Factors",2,"0"
"DecisionTypeRA","Factors",2,"1"
"DecisionTypeS","Factors",2,"0"
"DecisionTypeSN","Factors",2,"0"
"DecisionTypeSQ","Factors",2,"0"
"DecisionTypeSY","Factors",2,"0"
"ACTChoice2","Factors",2,"0"
"ACTChoice3","Factors",2,"0"
"ACTChoice4","Factors",2,"0"
"ACTChoice5","Factors",2,"0"
"ACTChoice6","Factors",2,"0"
"ACTChoiceNP","Factors",2,"0"
"ACTChoiceS","Factors",2,"0"
"EERScore_1.","Factors",2,"0"
"EERScore_11","Factors",2,"0"
"EERScore_12","Factors",2,"0"
"EERScore_13","Factors",2,"1"
"EERScore_14","Factors",2,"0"
"EERScore_15","Factors",2,"0"
"EERScore_2.","Factors",2,"0"
"EERScore_2A","Factors",2,"1"
"EERScore_2B","Factors",2,"0"
"EERScore_2C","Factors",2,"0"
"EERScore_2D","Factors",2,"0"
"EERScore_2E","Factors",2,"0"
"EERScore_2F","Factors",2,"0"
"EERScore_2H","Factors",2,"0"
"EERScore_3C","Factors",2,"0"
"EERScore_3D","Factors",2,"0"
"EERScore_3E","Factors",2,"0"
"EERScore_3F","Factors",2,"0"
"EERScore_3H","Factors",2,"0"
"EERScore_3Oth","Factors",2,"0"
"EERScore_4.","Factors",2,"1"
"EERScore_4E","Factors",2,"0"
"EERScore_4F","Factors",2,"0"
"EERScore_4H","Factors",2,"0"
"EERScore_51","Factors",2,"0"
"EERScore_5R","Factors",2,"0"
